n,m,tempo_execucao
100,200,0.080648
200,400,0.617857
300,600,2.587646
400,800,6.669363
500,1000,13.928832
600,1200,24.703132
700,1400,45.822836
800,1600,53.002017
900,1800,94.76875
1000,2000,143.757171
