n,m,p,tamanho,Serial,Sem agrupamento,Por linha,Por blocos,Speedup Sem agrupamento,Speedup Por linha,Speedup Por blocos
120,240,120,120 x 240 x 120,0.88,1.15,1.82,3.44,0.7652173913043478,0.4835164835164835,0.2558139534883721
180,360,180,180 x 360 x 180,3.21,4.33,6.74,12.91,0.7413394919168591,0.4762611275964391,0.24864446165762974
240,480,240,240 x 480 x 240,7.03,9.84,15.92,29.4,0.7144308943089431,0.44158291457286436,0.23911564625850343
300,600,300,300 x 600 x 300,13.21,19.08,31.55,58.27,0.6923480083857444,0.4187004754358162,0.2267032778445169
